price_date,symbol,asset_type,source_name,open,high,low,close,adjusted_close,volume,currency
2020-10-02,AAPL,equity,yahoo,112.88999938964844,115.37000274658203,112.22000122070312,113.0199966430664,109.72742462158203,144712000.0,USD
2020-10-05,AAPL,equity,yahoo,113.91000366210938,116.6500015258789,113.55000305175781,116.5,113.10604095458984,106243800.0,USD
2020-10-06,AAPL,equity,yahoo,115.69999694824219,116.12000274658203,112.25,113.16000366210938,109.86333465576172,161498200.0,USD
2020-10-07,AAPL,equity,yahoo,114.62000274658203,115.55000305175781,114.12999725341797,115.08000183105469,111.7274169921875,96849000.0,USD
2020-10-08,AAPL,equity,yahoo,116.25,116.4000015258789,114.58999633789062,114.97000122070312,111.62060546875,83477200.0,USD
2020-10-09,AAPL,equity,yahoo,115.27999877929688,117.0,114.91999816894531,116.97000122070312,113.56236267089844,100506900.0,USD
2020-10-12,AAPL,equity,yahoo,120.05999755859375,125.18000030517578,119.27999877929688,124.4000015258789,120.77587890625,240226800.0,USD
2020-10-13,AAPL,equity,yahoo,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,117.57201385498047,262330500.0,USD
2020-10-14,AAPL,equity,yahoo,121.0,123.02999877929688,119.62000274658203,121.19000244140625,117.65938568115234,150712000.0,USD
2020-10-15,AAPL,equity,yahoo,118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,117.1933822631836,112559200.0,USD
2020-10-16,AAPL,equity,yahoo,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,115.55261993408203,115393800.0,USD
2020-10-19,AAPL,equity,yahoo,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,112.60120391845703,120639300.0,USD
2020-10-20,AAPL,equity,yahoo,116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,114.08660888671875,124423700.0,USD
2020-10-21,AAPL,equity,yahoo,116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,113.46526336669922,89946000.0,USD
